Live URL path,Status,Visible areas to correct
/,Affected,"Homepage cards, first-visit flow, schedule note, image alt text, standards, class-lane copy"
/programs,Affected,"Program cards, Day One, weekly times, testimonials, buttons, footer/navigation"
/kids,Affected,"First-visit, class structure, watch/participation copy, image alt text"
/teen-jiu-jitsu-tannersville-ny,Affected,"First visit, Youth + Teen wording, missed-session copy, small classes"
/adult-bjj,Affected,"First visit, FAQs, schedule selection; preserve existing Semi-Private wording"
/private-lessons,Affected,References to joining group classes and class rhythm
/schedule,Affected,"Page heading, schedule cards, FAQs, help-before-class copy"
/sensei-studio,Affected,"Weekly schedule, first-visit copy, footer"
/jiu-jitsu-safety-tannersville-ny,Affected,"Safety headings, first visit, youth/adult links, removal policy"
/success-stories,Affected,Review/testimonial wording and same-room references
/options-pricing,Affected,"Access to classes, class packs, 10-Class/20-Class labels, class-lane copy"
/parent-resources,Affected,"Before-class, first-visit, weekly timing, lineup copy"
/law-enforcement-bjj,Affected,"First visit, adult schedule, separate-program explanation"
/free-bjj-intro-tannersville-ny,Affected,First-visit and class-lane wording
/bio,Affected,Beginner path and first-visit wording; preserve the adjective “first-class”
/show-up-kit,Affected,"Page title, before/after visit, calendar-button copy"
/bjj-faqs,Affected,"First-visit tab, attendance questions, program references"
/nearby-towns,Affected,"Class choice, small classes, evening schedule, local-page modules"
/near/hunter-ny,Affected,"Schedule, first visit, class lane, image alt text, teen links"
/near/windham-ny,Affected,"First visit, regular/martial-arts wording, schedule links"
/near/haines-falls-ny,Affected,"Youth/adult schedule, first visit, schedule section"
/near/woodstock-ny,Affected,"Schedule, class lane, first visit, image alt text"
/near/cairo-ny,Affected,"Schedule, class experience, class size, environment, footer"
/near/catskill-ny,Affected,"Schedule, class experience, class size, environment, footer"
/near/phoenicia-ny,Affected,Shared nearby-town schedule and first-visit modules
/catskills-jiu-jitsu,Affected,"Structured/first-visit wording, class lane, footer"
/rural-bjj-catskills,Affected,Small Classes headings and class-lane/footer copy
/catskills-home-base,Affected,Flexible class packs and youth/adult schedule wording
/nervous-first-timers,Affected,"First visit, room orientation, private/group references"
/summer-jiu-jitsu-tannersville,Affected,Pace-of-class wording and shared footer
/bring-a-friend,Affected,First-visit wording and shared footer
/scribners,Affected,"Adult schedule, first-class flow, choosing the first visit"
/bjj-stretches,Affected,"Before-class copy, in-class guidance, schedule CTA"
/bjj-glossary,Affected,Before/in-class explanations and schedule links
/bjj-videos,Affected,Video descriptions and visible titles containing Safety Class
/blog,Affected,"Blog cards, schedule modules, first-visit links"
/blog/confidence-protocol,Affected,"Schedule, Youth/Adult headings, Free Intro, class-lane copy, footer"
/blog/bjj-schedule-windham-ny,Affected,"Schedule, best-session and first-visit wording"
/blog/beginner-friendly-bjj-tannersville-evidence,Affected,Every-class and classes wording
/blog/martial-arts-windham-ny,Affected,Schedule and class-choice wording
/blog/sanda-vs-jiu-jitsu,Affected,Shared footer and any in-article class wording
/sensei-jiu-jitsu,Affected,"Schedule strip, first-visit and class-path wording"
/contact,Affected,"Schedule windows, first visit, class lane"
/partners-hospitality-hunter-windham,Affected,Intro class option
/partners-wellness-pt-referrals,Affected,Intro Class Visit
/how-to-start.html,Affected legacy live page,"Best first visit, before-class copy, review quotes"
/home,Affected legacy live page,"Hero, first visit, program and image-alt wording"
/community-partners,No visible match found,No requested phrase found during live audit
/tannersville-ny-jiu-jitsu,No visible match found,Moved-page stub only
